date,daily-atr,close,spike,doji,spike-doji,doji-v,spike-v,spike-doji-v,long,short
2024-09-04T07:52:00Z,,1.1057,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T07:53:00Z,,1.1057,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T07:54:00Z,,1.10574,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T07:55:00Z,,1.1057,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T07:56:00Z,,1.10572,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T07:57:00Z,,1.10565,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T07:58:00Z,,1.10561,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T07:59:00Z,,1.10559,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:00:00Z,,1.1055,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:01:00Z,,1.10548,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:02:00Z,,1.10554,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:03:00Z,,1.10552,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:04:00Z,,1.10543,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:05:00Z,,1.1053,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:06:00Z,,1.10528,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:07:00Z,,1.10518,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:08:00Z,,1.10519,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T08:09:00Z,,1.10519,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:10:00Z,,1.10505,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T08:11:00Z,,1.10501,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T08:12:00Z,,1.10499,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T08:13:00Z,,1.10503,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T08:14:00Z,,1.10511,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:15:00Z,,1.105,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T08:16:00Z,,1.10517,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:17:00Z,,1.10513,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:18:00Z,,1.10512,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:19:00Z,,1.10515,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:20:00Z,,1.10517,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T08:21:00Z,,1.10532,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:22:00Z,,1.10526,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:23:00Z,,1.10521,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:24:00Z,,1.10542,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:25:00Z,,1.10524,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:26:00Z,,1.1053,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:27:00Z,,1.10525,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:28:00Z,,1.10536,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:29:00Z,,1.10544,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:30:00Z,,1.10569,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:31:00Z,,1.10583,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:32:00Z,,1.10573,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:33:00Z,,1.10582,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:34:00Z,,1.10563,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:35:00Z,,1.10561,flat,short,flat,-1.0,0.0,0.0,,
